model_a,model_b,n_common_correct,transfer_a_to_b,transfer_b_to_a,mean_bidirectional_transfer_percent,sat_score,dataset,threat_model,n_examples
Wang2023Better_WRN70_16,Wang2023Better_WRN70_16,,,,,,cifar10,Linf,1000
Wang2023Better_WRN70_16,Wang2023Better_WRN28_10,924.0,0.18506494164466858,0.1753246784210205,18.019481003284454,2.8914534506158445,cifar10,Linf,1000
Wang2023Better_WRN70_16,Rebuffi2021Fixing_70_16_cutmix_extra,910.0,0.13626374304294586,0.1318681389093399,13.406594097614288,2.595746682753812,cifar10,Linf,1000
Wang2023Better_WRN70_16,Gowal2021Improving_28_10_ddpm_100m,871.0,0.1400688886642456,0.11251435428857803,12.629162147641182,2.536008595891229,cifar10,Linf,1000
Wang2023Better_WRN70_16,Rade2021Helper_extra,901.0,0.139844611287117,0.11098778992891312,12.541620060801506,2.5290527183117537,cifar10,Linf,1000
Wang2023Better_WRN70_16,Sehwag2021Proxy_R18,847.0,0.1121605634689331,0.07083825021982193,9.149940684437752,2.213747396691309,cifar10,Linf,1000
Wang2023Better_WRN28_10,Wang2023Better_WRN70_16,924.0,0.1753246784210205,0.18506494164466858,18.019481003284454,2.8914534506158445,cifar10,Linf,1000
Wang2023Better_WRN28_10,Wang2023Better_WRN28_10,,,,,,cifar10,Linf,1000
Wang2023Better_WRN28_10,Rebuffi2021Fixing_70_16_cutmix_extra,911.0,0.1547749787569046,0.1459934115409851,15.038419514894485,2.710608227553986,cifar10,Linf,1000
Wang2023Better_WRN28_10,Gowal2021Improving_28_10_ddpm_100m,871.0,0.16303099691867828,0.1320321410894394,14.753156900405884,2.6914570870314485,cifar10,Linf,1000
Wang2023Better_WRN28_10,Rade2021Helper_extra,903.0,0.16057585179805756,0.13399778306484222,14.728681743144989,2.6897967317748086,cifar10,Linf,1000
Wang2023Better_WRN28_10,Sehwag2021Proxy_R18,848.0,0.14976415038108826,0.09080188721418381,12.028301879763603,2.4872623628961,cifar10,Linf,1000
Rebuffi2021Fixing_70_16_cutmix_extra,Wang2023Better_WRN70_16,910.0,0.1318681389093399,0.13626374304294586,13.406594097614288,2.595746682753812,cifar10,Linf,1000
Rebuffi2021Fixing_70_16_cutmix_extra,Wang2023Better_WRN28_10,911.0,0.1459934115409851,0.1547749787569046,15.038419514894485,2.710608227553986,cifar10,Linf,1000
Rebuffi2021Fixing_70_16_cutmix_extra,Rebuffi2021Fixing_70_16_cutmix_extra,,,,,,cifar10,Linf,1000
Rebuffi2021Fixing_70_16_cutmix_extra,Gowal2021Improving_28_10_ddpm_100m,864.0,0.1458333283662796,0.11921296268701553,13.252314552664757,2.5841722203968756,cifar10,Linf,1000
Rebuffi2021Fixing_70_16_cutmix_extra,Rade2021Helper_extra,905.0,0.18895027041435242,0.15580110251903534,17.237568646669388,2.8470912255143555,cifar10,Linf,1000
Rebuffi2021Fixing_70_16_cutmix_extra,Sehwag2021Proxy_R18,842.0,0.13182897865772247,0.08669833838939667,10.926365852355957,2.3911787539778175,cifar10,Linf,1000
Gowal2021Improving_28_10_ddpm_100m,Wang2023Better_WRN70_16,871.0,0.11251435428857803,0.1400688886642456,12.629162147641182,2.536008595891229,cifar10,Linf,1000
Gowal2021Improving_28_10_ddpm_100m,Wang2023Better_WRN28_10,871.0,0.1320321410894394,0.16303099691867828,14.753156900405884,2.6914570870314485,cifar10,Linf,1000
Gowal2021Improving_28_10_ddpm_100m,Rebuffi2021Fixing_70_16_cutmix_extra,864.0,0.11921296268701553,0.1458333283662796,13.252314552664757,2.5841722203968756,cifar10,Linf,1000
Gowal2021Improving_28_10_ddpm_100m,Gowal2021Improving_28_10_ddpm_100m,,,,,,cifar10,Linf,1000
Gowal2021Improving_28_10_ddpm_100m,Rade2021Helper_extra,862.0,0.12877030670642853,0.12993039190769196,12.935034930706024,2.5599395161141314,cifar10,Linf,1000
Gowal2021Improving_28_10_ddpm_100m,Sehwag2021Proxy_R18,838.0,0.18735083937644958,0.14677804708480835,16.706444323062897,2.8157945325957914,cifar10,Linf,1000
Rade2021Helper_extra,Wang2023Better_WRN70_16,901.0,0.11098778992891312,0.139844611287117,12.541620060801506,2.5290527183117537,cifar10,Linf,1000
Rade2021Helper_extra,Wang2023Better_WRN28_10,903.0,0.13399778306484222,0.16057585179805756,14.728681743144989,2.6897967317748086,cifar10,Linf,1000
Rade2021Helper_extra,Rebuffi2021Fixing_70_16_cutmix_extra,905.0,0.15580110251903534,0.18895027041435242,17.237568646669388,2.8470912255143555,cifar10,Linf,1000
Rade2021Helper_extra,Gowal2021Improving_28_10_ddpm_100m,862.0,0.12993039190769196,0.12877030670642853,12.935034930706024,2.5599395161141314,cifar10,Linf,1000
Rade2021Helper_extra,Rade2021Helper_extra,,,,,,cifar10,Linf,1000
Rade2021Helper_extra,Sehwag2021Proxy_R18,837.0,0.1373954564332962,0.10991636663675308,12.365591153502464,2.514917708443804,cifar10,Linf,1000
Sehwag2021Proxy_R18,Wang2023Better_WRN70_16,847.0,0.07083825021982193,0.1121605634689331,9.149940684437752,2.213747396691309,cifar10,Linf,1000
Sehwag2021Proxy_R18,Wang2023Better_WRN28_10,848.0,0.09080188721418381,0.14976415038108826,12.028301879763603,2.4872623628961,cifar10,Linf,1000
Sehwag2021Proxy_R18,Rebuffi2021Fixing_70_16_cutmix_extra,842.0,0.08669833838939667,0.13182897865772247,10.926365852355957,2.3911787539778175,cifar10,Linf,1000
Sehwag2021Proxy_R18,Gowal2021Improving_28_10_ddpm_100m,838.0,0.14677804708480835,0.18735083937644958,16.706444323062897,2.8157945325957914,cifar10,Linf,1000
Sehwag2021Proxy_R18,Rade2021Helper_extra,837.0,0.10991636663675308,0.1373954564332962,12.365591153502464,2.514917708443804,cifar10,Linf,1000
Sehwag2021Proxy_R18,Sehwag2021Proxy_R18,,,,,,cifar10,Linf,1000
