model_a,model_b,n_common_correct,transfer_a_to_b,transfer_b_to_a,mean_bidirectional_transfer_percent,sat_score,dataset,threat_model,n_examples
ImageNet_Salman2020Do_50_2,ImageNet_Salman2020Do_50_2,,,,,,imagenet,Linf,1000
ImageNet_Salman2020Do_50_2,ImageNet_Salman2020Do_R50,634.0,0.12618295848369598,0.09305993467569351,10.962144657969475,2.3944479428486107,imagenet,Linf,1000
ImageNet_Salman2020Do_50_2,ImageNet_Engstrom2019Robustness,610.0,0.13278688490390778,0.07213114947080612,10.245901718735695,2.326877793311694,imagenet,Linf,1000
ImageNet_Salman2020Do_50_2,ImageNet_Salman2020Do_R18,525.0,0.11619047820568085,0.030476190149784088,7.333333417773247,1.9924301762047398,imagenet,Linf,1000
ImageNet_Salman2020Do_R50,ImageNet_Salman2020Do_50_2,634.0,0.09305993467569351,0.12618295848369598,10.962144657969475,2.3944479428486107,imagenet,Linf,1000
ImageNet_Salman2020Do_R50,ImageNet_Salman2020Do_R50,,,,,,imagenet,Linf,1000
ImageNet_Salman2020Do_R50,ImageNet_Engstrom2019Robustness,602.0,0.17275747656822205,0.12956809997558594,15.1162788271904,2.715772231148716,imagenet,Linf,1000
ImageNet_Salman2020Do_R50,ImageNet_Salman2020Do_R18,525.0,0.16190476715564728,0.06857142597436905,11.523809656500816,2.444415299947797,imagenet,Linf,1000
ImageNet_Engstrom2019Robustness,ImageNet_Salman2020Do_50_2,610.0,0.07213114947080612,0.13278688490390778,10.245901718735695,2.326877793311694,imagenet,Linf,1000
ImageNet_Engstrom2019Robustness,ImageNet_Salman2020Do_R50,602.0,0.12956809997558594,0.17275747656822205,15.1162788271904,2.715772231148716,imagenet,Linf,1000
ImageNet_Engstrom2019Robustness,ImageNet_Engstrom2019Robustness,,,,,,imagenet,Linf,1000
ImageNet_Engstrom2019Robustness,ImageNet_Salman2020Do_R18,523.0,0.15678776800632477,0.07648183405399323,11.6634801030159,2.4564626014862037,imagenet,Linf,1000
ImageNet_Salman2020Do_R18,ImageNet_Salman2020Do_50_2,525.0,0.030476190149784088,0.11619047820568085,7.333333417773247,1.9924301762047398,imagenet,Linf,1000
ImageNet_Salman2020Do_R18,ImageNet_Salman2020Do_R50,525.0,0.06857142597436905,0.16190476715564728,11.523809656500816,2.444415299947797,imagenet,Linf,1000
ImageNet_Salman2020Do_R18,ImageNet_Engstrom2019Robustness,523.0,0.07648183405399323,0.15678776800632477,11.6634801030159,2.4564626014862037,imagenet,Linf,1000
ImageNet_Salman2020Do_R18,ImageNet_Salman2020Do_R18,,,,,,imagenet,Linf,1000
