model_a,model_b,n_common_correct,transfer_a_to_b,transfer_b_to_a,mean_bidirectional_transfer_percent,sat_score,dataset,threat_model,n_examples
L2_Wang2023Better_WRN70_16,L2_Wang2023Better_WRN70_16,,,,,,cifar10,L2,1000
L2_Wang2023Better_WRN70_16,L2_Wang2023Better_WRN28_10,944.0,0.0762711837887764,0.07097457349300385,7.362287864089012,1.9963707355356426,cifar10,L2,1000
L2_Wang2023Better_WRN70_16,L2_Rebuffi2021Fixing_70_16_cutmix_extra,943.0,0.056203603744506836,0.05514315888285637,5.56733813136816,1.7169170458817686,cifar10,L2,1000
L2_Wang2023Better_WRN70_16,L2_Sehwag2021Proxy_R18,894.0,0.03803132101893425,0.020134227350354195,2.9082774184644222,1.0675609534926722,cifar10,L2,1000
L2_Wang2023Better_WRN28_10,L2_Wang2023Better_WRN70_16,944.0,0.07097457349300385,0.0762711837887764,7.362287864089012,1.9963707355356426,cifar10,L2,1000
L2_Wang2023Better_WRN28_10,L2_Wang2023Better_WRN28_10,,,,,,cifar10,L2,1000
L2_Wang2023Better_WRN28_10,L2_Rebuffi2021Fixing_70_16_cutmix_extra,932.0,0.054721031337976456,0.05150214582681656,5.311158858239651,1.6698100521659032,cifar10,L2,1000
L2_Wang2023Better_WRN28_10,L2_Sehwag2021Proxy_R18,892.0,0.050448428839445114,0.026905829086899757,3.8677128963172436,1.3526633494787237,cifar10,L2,1000
L2_Rebuffi2021Fixing_70_16_cutmix_extra,L2_Wang2023Better_WRN70_16,943.0,0.05514315888285637,0.056203603744506836,5.56733813136816,1.7169170458817686,cifar10,L2,1000
L2_Rebuffi2021Fixing_70_16_cutmix_extra,L2_Wang2023Better_WRN28_10,932.0,0.05150214582681656,0.054721031337976456,5.311158858239651,1.6698100521659032,cifar10,L2,1000
L2_Rebuffi2021Fixing_70_16_cutmix_extra,L2_Rebuffi2021Fixing_70_16_cutmix_extra,,,,,,cifar10,L2,1000
L2_Rebuffi2021Fixing_70_16_cutmix_extra,L2_Sehwag2021Proxy_R18,891.0,0.04938271641731262,0.039281707257032394,4.433221183717251,1.489126449333743,cifar10,L2,1000
L2_Sehwag2021Proxy_R18,L2_Wang2023Better_WRN70_16,894.0,0.020134227350354195,0.03803132101893425,2.9082774184644222,1.0675609534926722,cifar10,L2,1000
L2_Sehwag2021Proxy_R18,L2_Wang2023Better_WRN28_10,892.0,0.026905829086899757,0.050448428839445114,3.8677128963172436,1.3526633494787237,cifar10,L2,1000
L2_Sehwag2021Proxy_R18,L2_Rebuffi2021Fixing_70_16_cutmix_extra,891.0,0.039281707257032394,0.04938271641731262,4.433221183717251,1.489126449333743,cifar10,L2,1000
L2_Sehwag2021Proxy_R18,L2_Sehwag2021Proxy_R18,,,,,,cifar10,L2,1000
