source_model,target_model,layer_group,mean_cka,min_cka,max_cka,std_cka,n_layers,source_training_type,target_training_type,pair_type
Engstrom2019Robustness,Rice2020Overfitting,early,0.9743437469005585,0.9564563035964966,0.9922311902046204,0.02529666491678413,2,adversarial_training,adversarial_training_robust_overfitting,robust_robust
Engstrom2019Robustness,Rice2020Overfitting,late,0.8320598602294922,0.7114033102989197,0.9527164101600648,0.17063412930096228,2,adversarial_training,adversarial_training_robust_overfitting,robust_robust
Engstrom2019Robustness,Rice2020Overfitting,middle,0.7938012778759003,0.7566428184509277,0.8309597373008728,0.052549997275686516,2,adversarial_training,adversarial_training_robust_overfitting,robust_robust
Engstrom2019Robustness,Standard,early,0.8824965059757233,0.8572043776512146,0.907788634300232,0.0357684708978009,2,adversarial_training,standard,standard_robust
Engstrom2019Robustness,Standard,late,0.7175721526145935,0.6480215191841125,0.7871227860450745,0.09835944906902575,2,adversarial_training,standard,standard_robust
Engstrom2019Robustness,Standard,middle,0.8557263016700745,0.828382134437561,0.8830704689025879,0.03867049215201847,2,adversarial_training,standard,standard_robust
Engstrom2019Robustness,Wong2020Fast,early,0.9082576334476471,0.8678246140480042,0.94869065284729,0.05718092440266951,2,adversarial_training,fast_adversarial_training,robust_robust
Engstrom2019Robustness,Wong2020Fast,late,0.757531464099884,0.579592764377594,0.935470163822174,0.2516433224182961,2,adversarial_training,fast_adversarial_training,robust_robust
Engstrom2019Robustness,Wong2020Fast,middle,0.7873957753181458,0.6018505096435547,0.9729410409927368,0.2624006311511258,2,adversarial_training,fast_adversarial_training,robust_robust
Rice2020Overfitting,Engstrom2019Robustness,early,0.9743437469005585,0.9564563035964966,0.9922311902046204,0.02529666491678413,2,adversarial_training_robust_overfitting,adversarial_training,robust_robust
Rice2020Overfitting,Engstrom2019Robustness,late,0.8320598602294922,0.7114033102989197,0.9527164101600648,0.17063412930096228,2,adversarial_training_robust_overfitting,adversarial_training,robust_robust
Rice2020Overfitting,Engstrom2019Robustness,middle,0.7938012778759003,0.7566428184509277,0.8309597373008728,0.052549997275686516,2,adversarial_training_robust_overfitting,adversarial_training,robust_robust
Rice2020Overfitting,Standard,early,0.8764289021492004,0.8069832921028137,0.9458745121955872,0.09821092357487336,2,adversarial_training_robust_overfitting,standard,standard_robust
Rice2020Overfitting,Standard,late,0.6418694853782654,0.6356517672538757,0.648087203502655,0.008793181298524844,2,adversarial_training_robust_overfitting,standard,standard_robust
Rice2020Overfitting,Standard,middle,0.7313137948513031,0.6973382234573364,0.7652893662452698,0.048048713854723035,2,adversarial_training_robust_overfitting,standard,standard_robust
Rice2020Overfitting,Wong2020Fast,early,0.9423125684261322,0.9076586365699768,0.9769665002822876,0.04900806042052801,2,adversarial_training_robust_overfitting,fast_adversarial_training,robust_robust
Rice2020Overfitting,Wong2020Fast,late,0.7590599060058594,0.5766571760177612,0.9414626359939576,0.25795641456304613,2,adversarial_training_robust_overfitting,fast_adversarial_training,robust_robust
