source_model,target_model,early_cka,late_cka,middle_cka,mean_layerwise_cka,min_layerwise_cka,max_layerwise_cka,transfer_asr,source_training_type,target_training_type,pair_type
Engstrom2019Robustness,Rice2020Overfitting,0.9743437469005585,0.8320598602294922,0.7938012778759003,0.8667349616686503,0.7114033102989197,0.9922311902046204,0.5,adversarial_training,adversarial_training_robust_overfitting,robust_robust
Engstrom2019Robustness,Standard,0.8824965059757233,0.7175721526145935,0.8557263016700745,0.8185983200867971,0.6480215191841125,0.907788634300232,0.3461538461538461,adversarial_training,standard,standard_robust
Engstrom2019Robustness,Wong2020Fast,0.9082576334476471,0.757531464099884,0.7873957753181458,0.8177282909552256,0.579592764377594,0.9729410409927368,0.7692307692307693,adversarial_training,fast_adversarial_training,robust_robust
Rice2020Overfitting,Engstrom2019Robustness,0.9743437469005585,0.8320598602294922,0.7938012778759003,0.8667349616686503,0.7114033102989197,0.9922311902046204,0.5789473684210527,adversarial_training_robust_overfitting,adversarial_training,robust_robust
Rice2020Overfitting,Standard,0.8764289021492004,0.6418694853782654,0.7313137948513031,0.7498707274595896,0.6356517672538757,0.9458745121955872,0.2631578947368421,adversarial_training_robust_overfitting,standard,standard_robust
Rice2020Overfitting,Wong2020Fast,0.9423125684261322,0.7590599060058594,0.6440722197294235,0.781814898053805,0.4904766976833343,0.9769665002822876,0.6842105263157895,adversarial_training_robust_overfitting,fast_adversarial_training,robust_robust
Standard,Engstrom2019Robustness,0.8824965059757233,0.7175721526145935,0.8557263016700745,0.8185983200867971,0.6480215191841125,0.907788634300232,0.1016949152542373,standard,adversarial_training,standard_robust
Standard,Rice2020Overfitting,0.8764289021492004,0.6418694853782654,0.7313137948513031,0.7498707274595896,0.6356517672538757,0.9458745121955872,0.1186440677966101,standard,adversarial_training_robust_overfitting,standard_robust
Standard,Wong2020Fast,0.7900589108467102,0.6086304485797882,0.6934874653816223,0.6973922749360403,0.503673791885376,0.9782893061637878,0.135593220338983,standard,fast_adversarial_training,standard_robust
Wong2020Fast,Engstrom2019Robustness,0.9082576334476471,0.757531464099884,0.7873957753181458,0.8177282909552256,0.579592764377594,0.9729410409927368,0.5,fast_adversarial_training,adversarial_training,robust_robust
Wong2020Fast,Rice2020Overfitting,0.9423125684261322,0.7590599060058594,0.6440722197294235,0.781814898053805,0.4904766976833343,0.9769665002822876,0.4285714285714285,fast_adversarial_training,adversarial_training_robust_overfitting,robust_robust
Wong2020Fast,Standard,0.7900589108467102,0.6086304485797882,0.6934874653816223,0.6973922749360403,0.503673791885376,0.9782893061637878,0.3571428571428571,fast_adversarial_training,standard,standard_robust
