source_model,target_model,source_layer,target_layer,source_layer_name,target_layer_name,cka,pair_mode,n_examples
Standard,Engstrom2019Robustness,1,1,conv1,conv1,0.9077886343002319,unique,64
Standard,Engstrom2019Robustness,1,2,conv1,layer2.0.conv1,0.8419319987297058,unique,64
Standard,Engstrom2019Robustness,1,3,conv1,layer2.3.conv1,0.7657386660575867,unique,64
Standard,Engstrom2019Robustness,1,4,conv1,layer3.2.conv2,0.6599413156509399,unique,64
Standard,Engstrom2019Robustness,1,5,conv1,layer3.5.conv3,0.4945245385169983,unique,64
Standard,Engstrom2019Robustness,1,6,conv1,linear,0.508467435836792,unique,64
Standard,Engstrom2019Robustness,2,1,block1.layer.2.conv1,conv1,0.40810826420783997,unique,64
Standard,Engstrom2019Robustness,2,2,block1.layer.2.conv1,layer2.0.conv1,0.8572043776512146,unique,64
Standard,Engstrom2019Robustness,2,3,block1.layer.2.conv1,layer2.3.conv1,0.8526139259338379,unique,64
Standard,Engstrom2019Robustness,2,4,block1.layer.2.conv1,layer3.2.conv2,0.7794297933578491,unique,64
Standard,Engstrom2019Robustness,2,5,block1.layer.2.conv1,layer3.5.conv3,0.6840954422950745,unique,64
Standard,Engstrom2019Robustness,2,6,block1.layer.2.conv1,linear,0.2696439027786255,unique,64
Standard,Engstrom2019Robustness,3,1,block2.layer.0.conv2,conv1,0.4624998867511749,unique,64
Standard,Engstrom2019Robustness,3,2,block2.layer.0.conv2,layer2.0.conv1,0.8642520308494568,unique,64
Standard,Engstrom2019Robustness,3,3,block2.layer.0.conv2,layer2.3.conv1,0.8830704689025879,unique,64
Standard,Engstrom2019Robustness,3,4,block2.layer.0.conv2,layer3.2.conv2,0.8394733667373657,unique,64
Standard,Engstrom2019Robustness,3,5,block2.layer.0.conv2,layer3.5.conv3,0.7236460447311401,unique,64
Standard,Engstrom2019Robustness,3,6,block2.layer.0.conv2,linear,0.3791939318180084,unique,64
Standard,Engstrom2019Robustness,4,1,block2.layer.3.conv1,conv1,0.4192523956298828,unique,64
Standard,Engstrom2019Robustness,4,2,block2.layer.3.conv1,layer2.0.conv1,0.8469682335853577,unique,64
Standard,Engstrom2019Robustness,4,3,block2.layer.3.conv1,layer2.3.conv1,0.8734787702560425,unique,64
Standard,Engstrom2019Robustness,4,4,block2.layer.3.conv1,layer3.2.conv2,0.828382134437561,unique,64
Standard,Engstrom2019Robustness,4,5,block2.layer.3.conv1,layer3.5.conv3,0.7280879020690918,unique,64
Standard,Engstrom2019Robustness,4,6,block2.layer.3.conv1,linear,0.3350552022457123,unique,64
Standard,Engstrom2019Robustness,5,1,block3.layer.1.conv1,conv1,0.3708011507987976,unique,64
Standard,Engstrom2019Robustness,5,2,block3.layer.1.conv1,layer2.0.conv1,0.671129047870636,unique,64
Standard,Engstrom2019Robustness,5,3,block3.layer.1.conv1,layer2.3.conv1,0.6851909160614014,unique,64
Standard,Engstrom2019Robustness,5,4,block3.layer.1.conv1,layer3.2.conv2,0.6732922196388245,unique,64
Standard,Engstrom2019Robustness,5,5,block3.layer.1.conv1,layer3.5.conv3,0.7871227860450745,unique,64
Standard,Engstrom2019Robustness,5,6,block3.layer.1.conv1,linear,0.5329360365867615,unique,64
Standard,Engstrom2019Robustness,6,1,fc,conv1,0.3479573130607605,unique,64
Standard,Engstrom2019Robustness,6,2,fc,layer2.0.conv1,0.39568930864334106,unique,64
Standard,Engstrom2019Robustness,6,3,fc,layer2.3.conv1,0.388273149728775,unique,64
Standard,Engstrom2019Robustness,6,4,fc,layer3.2.conv2,0.36449840664863586,unique,64
Standard,Engstrom2019Robustness,6,5,fc,layer3.5.conv3,0.3909350633621216,unique,64
