source_model,target_model,layer_idx,S_ell,T
Standard,Engstrom2019Robustness,1,0.907788634300232,0.1016949152542373
Standard,Engstrom2019Robustness,2,0.8572043776512146,0.1016949152542373
Standard,Engstrom2019Robustness,3,0.8830704689025879,0.1016949152542373
Standard,Engstrom2019Robustness,4,0.828382134437561,0.1016949152542373
Standard,Engstrom2019Robustness,5,0.7871227860450745,0.1016949152542373
Standard,Engstrom2019Robustness,6,0.6480215191841125,0.1016949152542373
Standard,Wong2020Fast,1,0.9782893061637878,0.135593220338983
Standard,Wong2020Fast,2,0.6018285155296326,0.135593220338983
Standard,Wong2020Fast,3,0.8833011388778687,0.135593220338983
Standard,Wong2020Fast,4,0.503673791885376,0.135593220338983
Standard,Wong2020Fast,5,0.6011354327201843,0.135593220338983
Standard,Wong2020Fast,6,0.6161254644393921,0.135593220338983
Standard,Rice2020Overfitting,1,0.9458745121955872,0.1186440677966101
Standard,Rice2020Overfitting,2,0.8069832921028137,0.1186440677966101
Standard,Rice2020Overfitting,3,0.6973382234573364,0.1186440677966101
Standard,Rice2020Overfitting,4,0.7652893662452698,0.1186440677966101
Standard,Rice2020Overfitting,5,0.648087203502655,0.1186440677966101
Standard,Rice2020Overfitting,6,0.6356517672538757,0.1186440677966101
Engstrom2019Robustness,Wong2020Fast,1,0.94869065284729,0.7692307692307693
Engstrom2019Robustness,Wong2020Fast,2,0.8678246140480042,0.7692307692307693
Engstrom2019Robustness,Wong2020Fast,3,0.9729410409927368,0.7692307692307693
Engstrom2019Robustness,Wong2020Fast,4,0.6018505096435547,0.7692307692307693
Engstrom2019Robustness,Wong2020Fast,5,0.579592764377594,0.7692307692307693
Engstrom2019Robustness,Wong2020Fast,6,0.935470163822174,0.7692307692307693
Engstrom2019Robustness,Rice2020Overfitting,1,0.9922311902046204,0.5
Engstrom2019Robustness,Rice2020Overfitting,2,0.9564563035964966,0.5
Engstrom2019Robustness,Rice2020Overfitting,3,0.8309597373008728,0.5
Engstrom2019Robustness,Rice2020Overfitting,4,0.7566428184509277,0.5
Engstrom2019Robustness,Rice2020Overfitting,5,0.7114033102989197,0.5
Engstrom2019Robustness,Rice2020Overfitting,6,0.9527164101600648,0.5
Wong2020Fast,Rice2020Overfitting,1,0.9769665002822876,0.4285714285714285
Wong2020Fast,Rice2020Overfitting,2,0.9076586365699768,0.4285714285714285
Wong2020Fast,Rice2020Overfitting,3,0.7976677417755127,0.4285714285714285
Wong2020Fast,Rice2020Overfitting,4,0.4904766976833343,0.4285714285714285
Wong2020Fast,Rice2020Overfitting,5,0.5766571760177612,0.4285714285714285
Wong2020Fast,Rice2020Overfitting,6,0.9414626359939576,0.4285714285714285
