source_model,target_model,source_layer,best_target_layer,source_layer_name,best_target_layer_name,best_cka,layer_shift,abs_layer_shift,source_training_type,target_training_type,pair_type
Engstrom2019Robustness,Rice2020Overfitting,1,1,conv1,conv1,0.9922311902046204,0,0,adversarial_training,adversarial_training_robust_overfitting,robust_robust
Engstrom2019Robustness,Rice2020Overfitting,2,2,layer2.0.conv1,block1.layer.2.conv2,0.9564563035964966,0,0,adversarial_training,adversarial_training_robust_overfitting,robust_robust
Engstrom2019Robustness,Rice2020Overfitting,3,2,layer2.3.conv1,block1.layer.2.conv2,0.93461012840271,-1,1,adversarial_training,adversarial_training_robust_overfitting,robust_robust
Engstrom2019Robustness,Rice2020Overfitting,4,2,layer3.2.conv2,block1.layer.2.conv2,0.8309106826782227,-2,2,adversarial_training,adversarial_training_robust_overfitting,robust_robust
Engstrom2019Robustness,Rice2020Overfitting,5,5,layer3.5.conv3,block3.layer.1.conv2,0.7114033102989197,0,0,adversarial_training,adversarial_training_robust_overfitting,robust_robust
Engstrom2019Robustness,Rice2020Overfitting,6,6,linear,fc,0.9527164101600648,0,0,adversarial_training,adversarial_training_robust_overfitting,robust_robust
Engstrom2019Robustness,Standard,1,1,conv1,conv1,0.907788634300232,0,0,adversarial_training,standard,standard_robust
Engstrom2019Robustness,Standard,2,3,layer2.0.conv1,block2.layer.0.conv2,0.8642520308494568,1,1,adversarial_training,standard,standard_robust
Engstrom2019Robustness,Standard,3,3,layer2.3.conv1,block2.layer.0.conv2,0.8830704689025879,0,0,adversarial_training,standard,standard_robust
Engstrom2019Robustness,Standard,4,3,layer3.2.conv2,block2.layer.0.conv2,0.8394733667373657,-1,1,adversarial_training,standard,standard_robust
Engstrom2019Robustness,Standard,5,5,layer3.5.conv3,block3.layer.1.conv1,0.7871227860450745,0,0,adversarial_training,standard,standard_robust
Engstrom2019Robustness,Standard,6,6,linear,fc,0.6480215191841125,0,0,adversarial_training,standard,standard_robust
Engstrom2019Robustness,Wong2020Fast,1,1,conv1,conv1,0.94869065284729,0,0,adversarial_training,fast_adversarial_training,robust_robust
Engstrom2019Robustness,Wong2020Fast,2,3,layer2.0.conv1,layer2.1.conv1,0.9473064541816713,1,1,adversarial_training,fast_adversarial_training,robust_robust
Engstrom2019Robustness,Wong2020Fast,3,3,layer2.3.conv1,layer2.1.conv1,0.9729410409927368,0,0,adversarial_training,fast_adversarial_training,robust_robust
Engstrom2019Robustness,Wong2020Fast,4,3,layer3.2.conv2,layer2.1.conv1,0.8800683617591858,-1,1,adversarial_training,fast_adversarial_training,robust_robust
Engstrom2019Robustness,Wong2020Fast,5,3,layer3.5.conv3,layer2.1.conv1,0.7183225750923157,-2,2,adversarial_training,fast_adversarial_training,robust_robust
Engstrom2019Robustness,Wong2020Fast,6,6,linear,linear,0.935470163822174,0,0,adversarial_training,fast_adversarial_training,robust_robust
Rice2020Overfitting,Engstrom2019Robustness,1,1,conv1,conv1,0.9922311902046204,0,0,adversarial_training_robust_overfitting,adversarial_training,robust_robust
Rice2020Overfitting,Engstrom2019Robustness,2,2,block1.layer.2.conv2,layer2.0.conv1,0.9564563035964966,0,0,adversarial_training_robust_overfitting,adversarial_training,robust_robust
Rice2020Overfitting,Engstrom2019Robustness,3,1,block2.layer.0.convShortcut,conv1,0.89637291431427,-2,2,adversarial_training_robust_overfitting,adversarial_training,robust_robust
Rice2020Overfitting,Engstrom2019Robustness,4,3,block2.layer.3.conv2,layer2.3.conv1,0.7705424427986145,-1,1,adversarial_training_robust_overfitting,adversarial_training,robust_robust
Rice2020Overfitting,Engstrom2019Robustness,5,4,block3.layer.1.conv2,layer3.2.conv2,0.7786217927932739,-1,1,adversarial_training_robust_overfitting,adversarial_training,robust_robust
Rice2020Overfitting,Engstrom2019Robustness,6,6,fc,linear,0.9527164101600648,0,0,adversarial_training_robust_overfitting,adversarial_training,robust_robust
