source_model,target_model,mean_cross_layer_cka,max_cross_layer_cka,mean_diagonal_cka,mean_off_diagonal_cka,mean_near_diagonal_cka,mean_best_match_cka,mean_abs_best_layer_shift,max_abs_best_layer_shift,n_source_layers,transfer_asr,source_training_type,target_training_type,pair_type
Engstrom2019Robustness,Rice2020Overfitting,0.6510909116930432,0.9922311902046204,0.8667349616686503,0.6079621016979218,0.7686245888471603,0.8963880042235056,0.5,2,6,0.5,adversarial_training,adversarial_training_robust_overfitting,robust_robust
Engstrom2019Robustness,Standard,0.6241304328044256,0.907788634300232,0.8185983200867971,0.5852368553479512,0.7447937186807394,0.8216214676698049,0.3333333333333333,1,6,0.3461538461538461,adversarial_training,standard,standard_robust
Engstrom2019Robustness,Wong2020Fast,0.6541624483135011,0.9729410409927368,0.8177282909552256,0.6214492797851563,0.7674219869077206,0.9004665414492289,0.6666666666666666,2,6,0.7692307692307693,adversarial_training,fast_adversarial_training,robust_robust
Rice2020Overfitting,Engstrom2019Robustness,0.6510909116930432,0.9922311902046204,0.8667349616686503,0.6079621016979218,0.7686245888471603,0.8911568423112234,0.6666666666666666,2,6,0.5789473684210527,adversarial_training_robust_overfitting,adversarial_training,robust_robust
Rice2020Overfitting,Standard,0.5995624073677592,0.9458745121955872,0.7498707274595896,0.5695007433493932,0.6833868287503719,0.8153539498647054,0.8333333333333334,2,6,0.2631578947368421,adversarial_training_robust_overfitting,standard,standard_robust
Rice2020Overfitting,Wong2020Fast,0.6790661323401663,0.9769665002822876,0.781814898053805,0.6585163791974386,0.7779467441141605,0.8937839468320211,0.8333333333333334,2,6,0.6842105263157895,adversarial_training_robust_overfitting,fast_adversarial_training,robust_robust
Standard,Engstrom2019Robustness,0.6241304328044256,0.907788634300232,0.8185983200867971,0.5852368553479512,0.7447937186807394,0.826114426056544,0.16666666666666666,1,6,0.1016949152542373,standard,adversarial_training,standard_robust
Standard,Rice2020Overfitting,0.5995624073677592,0.9458745121955872,0.7498707274595896,0.5695007433493932,0.6833868287503719,0.7862727145353953,1.0,3,6,0.1186440677966101,standard,adversarial_training_robust_overfitting,standard_robust
Standard,Wong2020Fast,0.5838666980465254,0.9782893061637878,0.6973922749360403,0.5611615826686224,0.6714843306690454,0.8154148757457733,0.6666666666666666,2,6,0.135593220338983,standard,fast_adversarial_training,standard_robust
Wong2020Fast,Engstrom2019Robustness,0.6541624483135011,0.9729410409927368,0.8177282909552256,0.6214492797851563,0.7674219869077206,0.9157999455928802,0.8333333333333334,3,6,0.5,fast_adversarial_training,adversarial_training,robust_robust
Wong2020Fast,Rice2020Overfitting,0.6790661323401663,0.9769665002822876,0.781814898053805,0.6585163791974386,0.7779467441141605,0.9341172377268473,0.6666666666666666,1,6,0.4285714285714285,fast_adversarial_training,adversarial_training_robust_overfitting,robust_robust
Wong2020Fast,Standard,0.5838666980465254,0.9782893061637878,0.6973922749360403,0.5611615826686224,0.6714843306690454,0.8278102477391561,1.3333333333333333,4,6,0.3571428571428571,fast_adversarial_training,standard,standard_robust
