source_model,target_model,gaas,gaas_std,n_examples
Standard,Engstrom2019Robustness,0.018326176330447197,0.022679610177874565,32
Standard,Wong2020Fast,0.012332233600318432,0.02370067499577999,32
Standard,Rice2020Overfitting,0.01813068985939026,0.02411261387169361,32
Engstrom2019Robustness,Standard,0.018326176330447197,0.022679610177874565,32
Engstrom2019Robustness,Wong2020Fast,0.6162375807762146,0.10902030766010284,32
Engstrom2019Robustness,Rice2020Overfitting,0.6682460904121399,0.1223359927535057,32
Wong2020Fast,Standard,0.012332233600318432,0.02370067499577999,32
Wong2020Fast,Engstrom2019Robustness,0.6162375807762146,0.10902030766010284,32
Wong2020Fast,Rice2020Overfitting,0.6125883460044861,0.13300606608390808,32
Rice2020Overfitting,Standard,0.01813068985939026,0.02411261387169361,32
Rice2020Overfitting,Engstrom2019Robustness,0.6682460904121399,0.1223359927535057,32
Rice2020Overfitting,Wong2020Fast,0.6125883460044861,0.13300606608390808,32
