source_model,target_model,mean_layerwise_cka,min_layerwise_cka,max_layerwise_cka,sat,gaas,gaas_std,transfer_asr,source_architecture,source_training_type,target_architecture,target_training_type
Engstrom2019Robustness,Engstrom2019Robustness,,,,1.0,,,1.0,ResNet,adversarial_training,ResNet,adversarial_training
Engstrom2019Robustness,Rice2020Overfitting,0.8667349616686503,0.7114033102989197,0.9922311902046204,0.5,0.6683619022369385,0.1223534569144249,0.5,ResNet,adversarial_training,WideResNet,adversarial_training_robust_overfitting
Engstrom2019Robustness,Standard,,,,0.3461538461538461,,,0.3461538461538461,ResNet,adversarial_training,ResNet,standard
Engstrom2019Robustness,Wong2020Fast,0.8177282909552256,0.579592764377594,0.9729410409927368,0.7692307692307693,0.6155176162719727,0.1091314256191253,0.7692307692307693,ResNet,adversarial_training,WideResNet,fast_adversarial_training
Rice2020Overfitting,Engstrom2019Robustness,,,,0.5789473684210527,,,0.5789473684210527,WideResNet,adversarial_training_robust_overfitting,ResNet,adversarial_training
Rice2020Overfitting,Rice2020Overfitting,,,,1.0,,,1.0,WideResNet,adversarial_training_robust_overfitting,WideResNet,adversarial_training_robust_overfitting
Rice2020Overfitting,Standard,,,,0.2631578947368421,,,0.2631578947368421,WideResNet,adversarial_training_robust_overfitting,ResNet,standard
Rice2020Overfitting,Wong2020Fast,,,,0.6842105263157895,,,0.6842105263157895,WideResNet,adversarial_training_robust_overfitting,WideResNet,fast_adversarial_training
Standard,Engstrom2019Robustness,0.8185983200867971,0.6480215191841125,0.907788634300232,0.1016949152542373,0.0182667598128318,0.0227753520011901,0.1016949152542373,ResNet,standard,ResNet,adversarial_training
Standard,Rice2020Overfitting,0.7498707274595896,0.6356517672538757,0.9458745121955872,0.1186440677966101,0.0180807001888752,0.0244248360395431,0.1186440677966101,ResNet,standard,WideResNet,adversarial_training_robust_overfitting
Standard,Standard,,,,1.0,,,1.0,ResNet,standard,ResNet,standard
Standard,Wong2020Fast,0.6973922749360403,0.503673791885376,0.9782893061637878,0.135593220338983,0.0124299293383955,0.0238511022180318,0.135593220338983,ResNet,standard,WideResNet,fast_adversarial_training
Wong2020Fast,Engstrom2019Robustness,,,,0.5,,,0.5,WideResNet,fast_adversarial_training,ResNet,adversarial_training
Wong2020Fast,Rice2020Overfitting,0.781814898053805,0.4904766976833343,0.9769665002822876,0.4285714285714285,0.6127325296401978,0.1331391185522079,0.4285714285714285,WideResNet,fast_adversarial_training,WideResNet,adversarial_training_robust_overfitting
Wong2020Fast,Standard,,,,0.3571428571428571,,,0.3571428571428571,WideResNet,fast_adversarial_training,ResNet,standard
Wong2020Fast,Wong2020Fast,,,,1.0,,,1.0,WideResNet,fast_adversarial_training,WideResNet,fast_adversarial_training
