model,layer_index,layer_name,module_type
Standard,1,conv1,Conv2d
Standard,2,block1.layer.2.conv1,Conv2d
Standard,3,block2.layer.0.conv2,Conv2d
Standard,4,block2.layer.3.conv1,Conv2d
Standard,5,block3.layer.1.conv1,Conv2d
Standard,6,fc,Linear
Engstrom2019Robustness,1,conv1,Conv2d
Engstrom2019Robustness,2,layer2.0.conv1,Conv2d
Engstrom2019Robustness,3,layer2.3.conv1,Conv2d
Engstrom2019Robustness,4,layer3.2.conv2,Conv2d
Engstrom2019Robustness,5,layer3.5.conv3,Conv2d
Engstrom2019Robustness,6,linear,Linear
Wong2020Fast,1,conv1,Conv2d
Wong2020Fast,2,layer1.1.conv2,Conv2d
Wong2020Fast,3,layer2.1.conv1,Conv2d
Wong2020Fast,4,layer3.0.shortcut.0,Conv2d
Wong2020Fast,5,layer4.0.conv2,Conv2d
Wong2020Fast,6,linear,Linear
Rice2020Overfitting,1,conv1,Conv2d
Rice2020Overfitting,2,block1.layer.2.conv2,Conv2d
Rice2020Overfitting,3,block2.layer.0.convShortcut,Conv2d
Rice2020Overfitting,4,block2.layer.3.conv2,Conv2d
Rice2020Overfitting,5,block3.layer.1.conv2,Conv2d
Rice2020Overfitting,6,fc,Linear
