source_model,target_model,source_success_count,transfer_success_count,transfer_asr,sat,n_examples,eps,pgd_steps
Standard,Standard,59,59,1.0,1.0,64,0.03137254901960784,10
Standard,Engstrom2019Robustness,59,6,0.1016949152542373,0.1016949152542373,64,0.03137254901960784,10
Standard,Wong2020Fast,59,8,0.13559322033898305,0.13559322033898305,64,0.03137254901960784,10
Standard,Rice2020Overfitting,59,7,0.11864406779661017,0.11864406779661017,64,0.03137254901960784,10
Engstrom2019Robustness,Standard,26,9,0.34615384615384615,0.34615384615384615,64,0.03137254901960784,10
Engstrom2019Robustness,Engstrom2019Robustness,26,26,1.0,1.0,64,0.03137254901960784,10
Engstrom2019Robustness,Wong2020Fast,26,20,0.7692307692307693,0.7692307692307693,64,0.03137254901960784,10
Engstrom2019Robustness,Rice2020Overfitting,26,13,0.5,0.5,64,0.03137254901960784,10
Wong2020Fast,Standard,28,10,0.35714285714285715,0.35714285714285715,64,0.03137254901960784,10
Wong2020Fast,Engstrom2019Robustness,28,14,0.5,0.5,64,0.03137254901960784,10
Wong2020Fast,Wong2020Fast,28,28,1.0,1.0,64,0.03137254901960784,10
Wong2020Fast,Rice2020Overfitting,28,12,0.42857142857142855,0.42857142857142855,64,0.03137254901960784,10
Rice2020Overfitting,Standard,19,5,0.2631578947368421,0.2631578947368421,64,0.03137254901960784,10
Rice2020Overfitting,Engstrom2019Robustness,19,11,0.5789473684210527,0.5789473684210527,64,0.03137254901960784,10
Rice2020Overfitting,Wong2020Fast,19,13,0.6842105263157895,0.6842105263157895,64,0.03137254901960784,10
Rice2020Overfitting,Rice2020Overfitting,19,19,1.0,1.0,64,0.03137254901960784,10
