source_model,target_model,sample_id,source_layer,target_layer,source_layer_name,target_layer_name,cka,transferable,n_samples
Standard,Engstrom2019Robustness,-1,1,1,conv1,conv1,0.9360688328742981,1,6
Standard,Engstrom2019Robustness,-1,1,2,conv1,layer2.0.conv1,0.9668314456939697,1,6
Standard,Engstrom2019Robustness,-1,1,3,conv1,layer2.3.conv1,0.950659453868866,1,6
Standard,Engstrom2019Robustness,-1,1,4,conv1,layer3.2.conv2,0.9199654459953308,1,6
Standard,Engstrom2019Robustness,-1,1,5,conv1,layer3.5.conv3,0.933734118938446,1,6
Standard,Engstrom2019Robustness,-1,1,6,conv1,linear,0.6324828267097473,1,6
Standard,Engstrom2019Robustness,-1,2,1,block1.layer.2.conv1,conv1,0.9144775867462158,1,6
Standard,Engstrom2019Robustness,-1,2,2,block1.layer.2.conv1,layer2.0.conv1,0.9537900686264038,1,6
Standard,Engstrom2019Robustness,-1,2,3,block1.layer.2.conv1,layer2.3.conv1,0.9495739340782166,1,6
Standard,Engstrom2019Robustness,-1,2,4,block1.layer.2.conv1,layer3.2.conv2,0.9320856928825378,1,6
Standard,Engstrom2019Robustness,-1,2,5,block1.layer.2.conv1,layer3.5.conv3,0.9732294082641602,1,6
Standard,Engstrom2019Robustness,-1,2,6,block1.layer.2.conv1,linear,0.5761276483535767,1,6
Standard,Engstrom2019Robustness,-1,3,1,block2.layer.0.conv2,conv1,0.8946358561515808,1,6
Standard,Engstrom2019Robustness,-1,3,2,block2.layer.0.conv2,layer2.0.conv1,0.9474936127662659,1,6
Standard,Engstrom2019Robustness,-1,3,3,block2.layer.0.conv2,layer2.3.conv1,0.947858989238739,1,6
Standard,Engstrom2019Robustness,-1,3,4,block2.layer.0.conv2,layer3.2.conv2,0.9358081221580505,1,6
Standard,Engstrom2019Robustness,-1,3,5,block2.layer.0.conv2,layer3.5.conv3,0.9837979674339294,1,6
Standard,Engstrom2019Robustness,-1,3,6,block2.layer.0.conv2,linear,0.5815975666046143,1,6
Standard,Engstrom2019Robustness,-1,4,1,block2.layer.3.conv1,conv1,0.8967651128768921,1,6
Standard,Engstrom2019Robustness,-1,4,2,block2.layer.3.conv1,layer2.0.conv1,0.9341723322868347,1,6
Standard,Engstrom2019Robustness,-1,4,3,block2.layer.3.conv1,layer2.3.conv1,0.9442177414894104,1,6
Standard,Engstrom2019Robustness,-1,4,4,block2.layer.3.conv1,layer3.2.conv2,0.9355459213256836,1,6
Standard,Engstrom2019Robustness,-1,4,5,block2.layer.3.conv1,layer3.5.conv3,0.9844152331352234,1,6
Standard,Engstrom2019Robustness,-1,4,6,block2.layer.3.conv1,linear,0.5742238163948059,1,6
Standard,Engstrom2019Robustness,-1,5,1,block3.layer.1.conv1,conv1,0.8958585262298584,1,6
Standard,Engstrom2019Robustness,-1,5,2,block3.layer.1.conv1,layer2.0.conv1,0.9287493228912354,1,6
Standard,Engstrom2019Robustness,-1,5,3,block3.layer.1.conv1,layer2.3.conv1,0.9364107251167297,1,6
Standard,Engstrom2019Robustness,-1,5,4,block3.layer.1.conv1,layer3.2.conv2,0.9299134016036987,1,6
Standard,Engstrom2019Robustness,-1,5,5,block3.layer.1.conv1,layer3.5.conv3,0.9671965837478638,1,6
Standard,Engstrom2019Robustness,-1,5,6,block3.layer.1.conv1,linear,0.624670684337616,1,6
Standard,Engstrom2019Robustness,-1,6,1,fc,conv1,0.7888376116752625,1,6
